----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          1           |                     
      bndWdth        |        20000         |  2.1886825561523438 
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          2           |                     
      bndWdth        |        20000         |  4.3773651123046875 
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          4           |                     
      bndWdth        |        20000         |  8.754730224609375  
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          1           |                     
      bndWdth        |        20000         |   2.3345947265625   
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          2           |                     
      bndWdth        |        20000         |    4.669189453125   
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          4           |                     
      bndWdth        |        20000         |    9.33837890625    
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          1           |                     
      bndWdth        |        50000         |  5.7506561279296875 
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          2           |                     
      bndWdth        |        50000         |  11.501312255859375 
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          4           |                     
      bndWdth        |        50000         |  23.00262451171875  
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          1           |                     
      bndWdth        |        50000         |    6.134033203125   
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          2           |                     
      bndWdth        |        50000         |    12.26806640625   
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          4           |                     
      bndWdth        |        50000         |    24.5361328125    
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          1           |                     
      bndWdth        |        100000        |  11.715888977050781 
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          2           |                     
      bndWdth        |        100000        |  23.431777954101562 
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          4           |                     
      bndWdth        |        100000        |  46.863555908203125 
      modOrder       |          0           |                     
        DLUL         |         3:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          1           |                     
      bndWdth        |        100000        |   12.4969482421875  
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          2           |                     
      bndWdth        |        100000        |   24.993896484375   
      modOrder       |          0           |                     
        DLUL         |         4:1          |                     

----- Entradas ----- | ----- Valores ------ | ---- throughput ----
     MIMOLayers      |          4           |                     
      bndWdth        |        100000        |    49.98779296875   
